Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
235/65R17, 29.1", 9.4", 6.5-8.5", 7", 10/32", XL, 2205, 50, 31, 715
255/55R18, 29.2", 10.6", 7-9", 8", 10/32", SL, 2039, 51, NA, 713
255/50R19, 29.1", 10.8", 7-9", 9", 10/32", SL, 1929, 51, 33, 714
275/45R19, 28.8", 10.8", 8.5-10.5", 9", 10/32", XL, 2205, 50, NA, 722
275/40ZR20, 28.8", 11", 9-11", 9.5", 10/32", XL, 2094, 50, 32, 724
275/50R20, 31.1", 11.3", 7.5-9.5", 8.5", 10/32", SL, 2271, 51, NA, 669
315/35R20, 28.7", 12.4", 10.5-12.5", 10.5", 10/32", SL, 2094, 51, NA, 724
285/35R22, 29.9", 11.4", 9.5-11", 10", 10/32", SL, 1874, 51, NA, 695
295/30ZR22, 29", 11.9", 10-11", 10.5", 10/32", XL, 1929, 50, 32, 716
