Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
215/65R16, 27", 8.7", 6-7.5", 6.5", 10/32", SL, 1653, 51, 27, 770
235/55R17, 27.2", 9.7", 6.5-8.5", 7.5", 10/32", SL, 1709, 51, 28, 766
235/65R17, 29.1", 9.5", 6.5-8.5", 7", 10/32", SL, 1984, 51, 31, 716
275/55R17, 28.9", 10.8", 7.5-9.5", 8.5", 10/32", SL, 2271, 51, 37, 720
255/50R19, 29.5", 10.9", 7-9", 8", 10/32", SL, 1929, 51, 35, 705
285/45R19, 29.4", 11.5", 9-10.5", 9.5", 10/32", SL, 2149, 51, 35, 715
255/50R20, 30.1", 10.4", 7-9", 8", 10/32", XL, 2271, 50, 34, 691
275/40R20, 28.7", 11", 9-11", 9.5", 10/32", SL, 1874, 51, 33, 724
315/35R20, 28.7", 12.4", 10.5-12.5", 10.5", 10/32", SL, 2094, 51, 37, 725
