Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
255/55R18, 29", 10", 7-9", 8", 8/32", XL, 2271, 50, 39, 716
245/50R19, 28.7", 9.9", 7-8.5", 7.5", 8.5/32", XL, 2039, 50, 35.3, 725
245/45R20, 28.7", 9.5", 7.5-9", 8", 8.5/32", XL, 1929, 50, 31.5, 726
275/40R20, 28.7", 10.9", 9-11", 9.5", 8.5/32", XL, 2094, 50, 35.7, 726
