Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
LT 215/85R16, 30.7", 8.6", 5.5-7", 6", 15/32", E, 2679/2469, 80, 47, 681
LT 225/75R16, 29.4", 8.7", 6-7", 6", 14/32", E, 2679/2469, 80, 49, 706
LT 235/85R16, 32", 9.6", 6-7", 6.5", 15/32", E, 3085/2756, 80, 56, 649
LT 245/75R16, 30.6", 9.6", 6.5-7", 7", 14/32", E, 3086/2756, 80, 53, 676
