Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
255/50R19, 29.1", 10.4", 7-9", 8", 10/32", XL, 2149, 50, 39, 719
285/45R19, 29.1", 11.2", 9-10.5", 9.5", 9/32", XL, 2403, 50, 42, 719
