Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
235/55R19, 29.2", 9.7", 6.5-8.5", 7.5", 9/32", SL, 1819, 51, 30, 717
255/50R19, 29.1", 10.4", 7-9", 8", 9/32", SL, 1929, 51, 30, 719
265/50R19, 29.5", 10.9", 7.5-9.5", 8.5", 11/32", XL, 2337, 50, 33, 709
265/45R20, 29.4", 10.5", 8.5-10", 9", 9/32", XL, 2205, 50, 32, 712
285/40R21, 30", 11.4", 9.5-11", 10", 10/32", XL, 2271, 50, 35, 698
