Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
195/70R15C, 25.8", 7.9", 5-6", 6", 12/32", D, 1985, 65, 26, 810
205/65R15C, 25.5", 8.2", 5.5-6.5", 6", 12/32", C, 1875, 50, 24, 815
225/70R15C, 27.4", 9", 6-7", 6.5", 13/32", D, 2470, 65, 37, 762
