Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
255/55R18, 29", 10", 7-9", 8", 11/32", XL, 2271, 50, 35, 716
275/45ZR19, 28.8", 10.7", 8.5-10.5", 9", 10/32", XL, 2205, 51, 36, 724
275/40ZR20, 28.7", 10.9", 9-10.5", 9.5", 10/32", XL, 2094, 51, 36, 726
315/35R20, 28.68", 12.4", 10.5-12.5", 11", 10/32", XL, 2337, 50, NA, 724
