Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
255/55R18, 29", 10.4", 7-9", 8", 9/32", XL, 2271, 51, 43, 716
255/50R19, 29", 10.4", 7-9", 8", 9/32", SL, 1929, 51, 43, 716
255/50R19, 29", 10.4", 7-9", 8", 9/32", XL, 2149, 50, 39, 716
285/45R19, 29.1", 11.2", 9-10.5", 9.5", 9/32", XL, 2403, 50, 42, 714
275/40R20, 28.7", 10.9", 9-10.5", 9.5", 9/32", XL, 2094, 50, 37, 724
315/35R20, 28.7", 12.6", 10.5-12.5", 11", 9/32", XL, 2337, 50, 41, 724
